timestamp,carpark_number,total_lots,lots_available,lot_type
2022-09-30 01:00:00,HE12,105,22,C
2022-09-30 01:00:00,HLM,583,473,C
2022-09-30 01:00:00,RHM,329,128,C
2022-09-30 01:00:00,BM29,97,82,C
2022-09-30 01:00:00,Q81,96,78,C
2022-09-30 01:00:00,C20,177,69,C
2022-09-30 01:00:00,FR3M,228,160,C
2022-09-30 01:00:00,C32,289,103,C
2022-09-30 01:00:00,C6,332,103,C
2022-09-30 01:00:00,TG2,273,79,C
2022-09-30 01:00:00,BP1,543,162,C
2022-09-30 01:00:00,TG1,133,39,C
2022-09-30 01:00:00,TGM2,189,111,C
2022-09-30 01:00:00,TE14,138,12,C
2022-09-30 01:00:00,BM3,48,3,C
2022-09-30 01:00:00,BM9,612,121,C
2022-09-30 01:00:00,HG44,155,40,C
2022-09-30 01:00:00,HG64,82,46,C
2022-09-30 01:00:00,PM27,326,109,C
2022-09-30 01:00:00,PM28,305,71,C
2022-09-30 01:00:00,TM36,225,47,C
2022-09-30 01:00:00,TM37,244,63,C
2022-09-30 01:00:00,T50,350,98,C
2022-09-30 01:00:00,T51,346,38,C
2022-09-30 01:00:00,TM43,247,190,C
2022-09-30 01:00:00,T15,30,19,C
2022-09-30 01:00:00,T16,109,7,C
2022-09-30 01:00:00,T17,228,55,C
2022-09-30 01:00:00,T18,81,40,C
2022-09-30 01:00:00,B9,213,105,C
2022-09-30 01:00:00,B10,516,172,C
2022-09-30 01:00:00,B14,208,61,C
2022-09-30 01:00:00,WCB,143,82,C
2022-09-30 01:00:00,ACB,93,59,C
2022-09-30 01:00:00,CY,31,16,C
2022-09-30 01:00:00,AM46,408,52,C
2022-09-30 01:00:00,A12,205,95,C
2022-09-30 01:00:00,BE45,363,49,C
2022-09-30 01:00:00,BE39,707,152,C
2022-09-30 01:00:00,BE40,339,201,C
2022-09-30 01:00:00,RCB,320,181,C
2022-09-30 01:00:00,CR29,56,0,C
2022-09-30 01:00:00,KLM,352,278,C
2022-09-30 01:00:00,SE34,270,39,C
2022-09-30 01:00:00,KB7,65,50,C
2022-09-30 01:00:00,SE31,187,14,C
2022-09-30 01:00:00,J56,15,14,C
2022-09-30 01:00:00,J57,362,343,C
2022-09-30 01:00:00,J57L,13,11,C
2022-09-30 01:00:00,J33,129,50,C
2022-09-30 01:00:00,J34,123,50,C
2022-09-30 01:00:00,BL8,679,251,C
2022-09-30 01:00:00,J36,482,78,C
2022-09-30 01:00:00,J54,226,146,C
2022-09-30 01:00:00,J55,141,93,C
2022-09-30 01:00:00,J43,190,65,C
2022-09-30 01:00:00,J46,63,32,C
2022-09-30 01:00:00,KB1,239,50,C
2022-09-30 01:00:00,GBM,677,316,C
2022-09-30 01:00:00,SE14,187,46,C
2022-09-30 01:00:00,SE50,591,369,C
2022-09-30 01:00:00,J40,206,23,C
2022-09-30 01:00:00,JM1,268,112,C
2022-09-30 01:00:00,J32,199,76,C
2022-09-30 01:00:00,A11,368,135,C
2022-09-30 01:00:00,TR1,391,122,C
2022-09-30 01:00:00,JBM,342,211,C
2022-09-30 01:00:00,TE2,213,116,C
2022-09-30 01:00:00,CR31,93,10,C
2022-09-30 01:00:00,J1,368,118,C
2022-09-30 01:00:00,J2,200,87,C
2022-09-30 01:00:00,J3,308,118,C
2022-09-30 01:00:00,T37,1163,400,C
2022-09-30 01:00:00,KB3,149,58,C
2022-09-30 01:00:00,KBM,239,140,C
2022-09-30 01:00:00,J4,172,41,C
2022-09-30 01:00:00,TGM1,388,216,C
2022-09-30 01:00:00,TG3,208,71,C
2022-09-30 01:00:00,TG6,176,69,C
2022-09-30 01:00:00,TG7,362,132,C
2022-09-30 01:00:00,CR30,54,11,C
2022-09-30 01:00:00,RCM,151,46,C
2022-09-30 01:00:00,EPM,286,108,C
2022-09-30 01:00:00,TGM3,553,170,C
2022-09-30 01:00:00,KB14,58,42,C
2022-09-30 01:00:00,J41,350,81,C
2022-09-30 01:00:00,JBM2,144,34,C
2022-09-30 01:00:00,J39,250,52,C
2022-09-30 01:00:00,J52,626,108,C
2022-09-30 01:00:00,J51,655,264,C
2022-09-30 01:00:00,J53,215,60,C
2022-09-30 01:00:00,T19,881,249,C
2022-09-30 01:00:00,J49,922,515,C
2022-09-30 01:00:00,J27,291,54,C
2022-09-30 01:00:00,TB14,43,4,C
2022-09-30 01:00:00,U19,501,197,C
2022-09-30 01:00:00,U6,95,55,C
2022-09-30 01:00:00,U45,159,32,C
2022-09-30 01:00:00,BBM7,175,146,C
2022-09-30 01:00:00,BE12,459,112,C
2022-09-30 01:00:00,HG41,461,76,C
2022-09-30 01:00:00,HG43,487,163,C
2022-09-30 01:00:00,MN1,257,52,C
2022-09-30 01:00:00,MNRM,355,183,C
2022-09-30 01:00:00,MN2,303,84,C
2022-09-30 01:00:00,C7,459,254,C
2022-09-30 01:00:00,C17,66,13,C
2022-09-30 01:00:00,C20M,550,446,C
2022-09-30 01:00:00,T41,202,108,C
2022-09-30 01:00:00,T42,86,21,C
2022-09-30 01:00:00,TM42,261,221,C
2022-09-30 01:00:00,J48,745,224,C
2022-09-30 01:00:00,BH1,57,46,C
2022-09-30 01:00:00,BH2,47,33,C
2022-09-30 01:00:00,BKE7,172,156,C
2022-09-30 01:00:00,BR5,150,50,C
2022-09-30 01:00:00,BRM3,406,188,C
2022-09-30 01:00:00,BRM4,176,47,C
2022-09-30 01:00:00,M16,124,27,C
2022-09-30 01:00:00,M20,36,2,C
2022-09-30 01:00:00,M35,91,11,C
2022-09-30 01:00:00,M36,17,4,C
2022-09-30 01:00:00,M37,35,2,C
2022-09-30 01:00:00,M38,39,6,C
2022-09-30 01:00:00,MM3,222,131,C
2022-09-30 01:00:00,MP12,220,64,C
2022-09-30 01:00:00,MP13,396,185,C
2022-09-30 01:00:00,MP1M,522,250,C
2022-09-30 01:00:00,PP1,257,18,C
2022-09-30 01:00:00,PP2,192,109,C
2022-09-30 01:00:00,PP3,345,94,C
2022-09-30 01:00:00,PP4,166,1,C
2022-09-30 01:00:00,PP5,346,81,C
2022-09-30 01:00:00,TP10,83,34,C
2022-09-30 01:00:00,TP14,53,10,C
2022-09-30 01:00:00,TP16,668,593,C
2022-09-30 01:00:00,TP17,119,63,C
2022-09-30 01:00:00,TP18,383,338,C
2022-09-30 01:00:00,TP2,85,17,C
2022-09-30 01:00:00,TPMG,116,74,C
2022-09-30 01:00:00,TP36,247,22,C
2022-09-30 01:00:00,TPM4,343,112,C
2022-09-30 01:00:00,TPM5,342,174,C
2022-09-30 01:00:00,TPM6,358,131,C
2022-09-30 01:00:00,TP27,257,134,C
2022-09-30 01:00:00,TPMN,815,423,C
2022-09-30 01:00:00,TPMP,808,172,C
2022-09-30 01:00:00,WDB1,75,13,C
2022-09-30 01:00:00,Y23,823,217,C
2022-09-30 01:00:00,Y24,181,48,C
2022-09-30 01:00:00,Y56,45,10,C
2022-09-30 01:00:00,BBM1,406,210,C
2022-09-30 01:00:00,BBM8,329,113,C
2022-09-30 01:00:00,BJ10,310,59,C
2022-09-30 01:00:00,BJ11,100,9,C
2022-09-30 01:00:00,BJ12,550,105,C
2022-09-30 01:00:00,BJ17,172,99,C
2022-09-30 01:00:00,BJ18,324,66,C
2022-09-30 01:00:00,BJ28,669,340,C
2022-09-30 01:00:00,BJ3,1054,240,C
2022-09-30 01:00:00,BJ33,366,230,C
2022-09-30 01:00:00,BJ42,450,124,C
2022-09-30 01:00:00,BJ45,232,132,C
2022-09-30 01:00:00,CK21,192,142,C
2022-09-30 01:00:00,U48,93,26,C
2022-09-30 01:00:00,U5,101,34,C
2022-09-30 01:00:00,JM14,490,219,C
2022-09-30 01:00:00,JM12,462,224,C
2022-09-30 01:00:00,W39,210,0,C
2022-09-30 01:00:00,PL67,735,311,C
2022-09-30 01:00:00,W2,1000,19,C
2022-09-30 01:00:00,W1,1000,53,C
2022-09-30 01:00:00,U9,400,22,C
2022-09-30 01:00:00,U26,595,135,C
2022-09-30 01:00:00,U25,625,175,C
2022-09-30 01:00:00,U24T,46,15,C
2022-09-30 01:00:00,U24,364,73,C
2022-09-30 01:00:00,U23,713,191,C
2022-09-30 01:00:00,U22,495,133,C
2022-09-30 01:00:00,U21,313,94,C
2022-09-30 01:00:00,U2,1109,342,C
2022-09-30 01:00:00,J45,361,90,C
2022-09-30 01:00:00,TM25,128,9,C
2022-09-30 01:00:00,TM26,124,11,C
2022-09-30 01:00:00,TM27,239,160,C
2022-09-30 01:00:00,J37,269,64,C
2022-09-30 01:00:00,BM1,60,0,C
2022-09-30 01:00:00,BM2,53,29,C
2022-09-30 01:00:00,BM26,460,311,C
2022-09-30 01:00:00,BWM,220,106,C
2022-09-30 01:00:00,TBMT,150,37,C
2022-09-30 01:00:00,TPM,384,225,C
2022-09-30 01:00:00,U29,338,306,C
2022-09-30 01:00:00,U27,20,14,C
2022-09-30 01:00:00,U18,312,85,C
2022-09-30 01:00:00,U30,143,71,C
2022-09-30 01:00:00,EPML,25,0,C
2022-09-30 01:00:00,TE25,298,84,C
2022-09-30 01:00:00,TE3,19,0,C
2022-09-30 01:00:00,TE4,30,0,C
2022-09-30 01:00:00,U28,15,11,C
2022-09-30 01:00:00,A15,59,32,C
2022-09-30 01:00:00,BM28,47,0,C
2022-09-30 01:00:00,BM30,46,0,C
2022-09-30 01:00:00,BTM,292,92,C
2022-09-30 01:00:00,BTM2,496,258,C
2022-09-30 01:00:00,SAM2,336,86,C
2022-09-30 01:00:00,TBM2,243,123,C
2022-09-30 01:00:00,TJ34,350,186,C
2022-09-30 01:00:00,U31,348,177,C
2022-09-30 01:00:00,BL13,413,177,C
2022-09-30 01:00:00,HG10,248,97,C
2022-09-30 01:00:00,W3,1000,217,C
2022-09-30 01:00:00,BJ65,224,44,C
2022-09-30 01:00:00,CK19,70,11,C
2022-09-30 01:00:00,CK4,10,2,C
2022-09-30 01:00:00,CK42,453,88,C
2022-09-30 01:00:00,CK7,298,202,C
2022-09-30 01:00:00,TW1,108,10,C
2022-09-30 01:00:00,TW2,355,67,C
2022-09-30 01:00:00,TW3,338,93,C
2022-09-30 01:00:00,BL18M,353,286,C
2022-09-30 01:00:00,B16,364,183,C
