timestamp,carpark_number,total_lots,lots_available,lot_type
2022-09-15 00:00:00,HE12,105,54,C
2022-09-15 00:00:00,HLM,583,476,C
2022-09-15 00:00:00,RHM,329,119,C
2022-09-15 00:00:00,BM29,97,66,C
2022-09-15 00:00:00,Q81,96,78,C
2022-09-15 00:00:00,C20,177,52,C
2022-09-15 00:00:00,FR3M,228,155,C
2022-09-15 00:00:00,C32,289,96,C
2022-09-15 00:00:00,C6,332,118,C
2022-09-15 00:00:00,TG2,273,89,C
2022-09-15 00:00:00,BP1,543,202,C
2022-09-15 00:00:00,TG1,133,46,C
2022-09-15 00:00:00,TGM2,189,123,C
2022-09-15 00:00:00,TE14,138,0,C
2022-09-15 00:00:00,BM3,48,2,C
2022-09-15 00:00:00,BM9,612,121,C
2022-09-15 00:00:00,HG44,155,8,C
2022-09-15 00:00:00,HG64,82,40,C
2022-09-15 00:00:00,PM27,326,109,C
2022-09-15 00:00:00,PM28,305,76,C
2022-09-15 00:00:00,TM36,225,50,C
2022-09-15 00:00:00,TM37,244,63,C
2022-09-15 00:00:00,T50,350,104,C
2022-09-15 00:00:00,T51,346,35,C
2022-09-15 00:00:00,TM43,247,188,C
2022-09-15 00:00:00,T15,30,13,C
2022-09-15 00:00:00,T16,109,28,C
2022-09-15 00:00:00,T17,228,76,C
2022-09-15 00:00:00,T18,81,48,C
2022-09-15 00:00:00,B9,213,100,C
2022-09-15 00:00:00,B10,516,159,C
2022-09-15 00:00:00,B14,208,61,C
2022-09-15 00:00:00,WCB,143,83,C
2022-09-15 00:00:00,ACB,93,62,C
2022-09-15 00:00:00,CY,31,7,C
2022-09-15 00:00:00,AM46,408,44,C
2022-09-15 00:00:00,A12,205,89,C
2022-09-15 00:00:00,BE45,363,58,C
2022-09-15 00:00:00,BE39,707,170,C
2022-09-15 00:00:00,BE40,339,201,C
2022-09-15 00:00:00,RCB,320,181,C
2022-09-15 00:00:00,CR29,56,0,C
2022-09-15 00:00:00,KLM,352,274,C
2022-09-15 00:00:00,SE34,270,48,C
2022-09-15 00:00:00,KB7,65,44,C
2022-09-15 00:00:00,SE31,187,16,C
2022-09-15 00:00:00,J56,15,10,C
2022-09-15 00:00:00,J57,362,331,C
2022-09-15 00:00:00,J57L,13,6,C
2022-09-15 00:00:00,J33,129,56,C
2022-09-15 00:00:00,J34,123,52,C
2022-09-15 00:00:00,BL8,679,329,C
2022-09-15 00:00:00,J36,482,106,C
2022-09-15 00:00:00,J54,226,151,C
2022-09-15 00:00:00,J55,141,98,C
2022-09-15 00:00:00,J43,190,63,C
2022-09-15 00:00:00,J46,63,36,C
2022-09-15 00:00:00,KB1,239,39,C
2022-09-15 00:00:00,GBM,677,322,C
2022-09-15 00:00:00,SE14,187,45,C
2022-09-15 00:00:00,SE50,591,373,C
2022-09-15 00:00:00,J40,206,28,C
2022-09-15 00:00:00,JM1,268,109,C
2022-09-15 00:00:00,J32,199,69,C
2022-09-15 00:00:00,A11,368,140,C
2022-09-15 00:00:00,TR1,391,106,C
2022-09-15 00:00:00,JBM,342,223,C
2022-09-15 00:00:00,TE2,213,128,C
2022-09-15 00:00:00,CR31,93,15,C
2022-09-15 00:00:00,J1,368,122,C
2022-09-15 00:00:00,J2,200,84,C
2022-09-15 00:00:00,J3,308,123,C
2022-09-15 00:00:00,T37,1163,412,C
2022-09-15 00:00:00,KB3,149,0,C
2022-09-15 00:00:00,KBM,239,149,C
2022-09-15 00:00:00,J4,172,38,C
2022-09-15 00:00:00,TGM1,388,217,C
2022-09-15 00:00:00,TG3,208,73,C
2022-09-15 00:00:00,TG6,176,68,C
2022-09-15 00:00:00,TG7,362,123,C
2022-09-15 00:00:00,CR30,54,9,C
2022-09-15 00:00:00,RCM,151,54,C
2022-09-15 00:00:00,EPM,286,112,C
2022-09-15 00:00:00,TGM3,553,192,C
2022-09-15 00:00:00,KB14,58,47,C
2022-09-15 00:00:00,J41,350,87,C
2022-09-15 00:00:00,JBM2,144,38,C
2022-09-15 00:00:00,J39,250,56,C
2022-09-15 00:00:00,J52,626,132,C
2022-09-15 00:00:00,J51,655,285,C
2022-09-15 00:00:00,J53,215,71,C
2022-09-15 00:00:00,T19,881,254,C
2022-09-15 00:00:00,J49,922,501,C
2022-09-15 00:00:00,J27,291,63,C
2022-09-15 00:00:00,TB14,43,3,C
2022-09-15 00:00:00,U19,501,236,C
2022-09-15 00:00:00,U6,95,33,C
2022-09-15 00:00:00,U45,159,38,C
2022-09-15 00:00:00,BBM7,175,141,C
2022-09-15 00:00:00,BE12,459,119,C
2022-09-15 00:00:00,HG41,461,70,C
2022-09-15 00:00:00,HG43,487,172,C
2022-09-15 00:00:00,MN1,257,55,C
2022-09-15 00:00:00,MNRM,355,175,C
2022-09-15 00:00:00,MN2,303,104,C
2022-09-15 00:00:00,C7,459,250,C
2022-09-15 00:00:00,C17,66,29,C
2022-09-15 00:00:00,C20M,550,445,C
2022-09-15 00:00:00,T41,202,92,C
2022-09-15 00:00:00,T42,86,30,C
2022-09-15 00:00:00,TM42,261,221,C
2022-09-15 00:00:00,J48,745,260,C
2022-09-15 00:00:00,BH1,57,46,C
2022-09-15 00:00:00,BH2,47,28,C
2022-09-15 00:00:00,BKE7,172,158,C
2022-09-15 00:00:00,BR5,150,45,C
2022-09-15 00:00:00,BRM3,406,190,C
2022-09-15 00:00:00,BRM4,176,47,C
2022-09-15 00:00:00,M16,124,35,C
2022-09-15 00:00:00,M20,36,3,C
2022-09-15 00:00:00,M35,91,19,C
2022-09-15 00:00:00,M36,17,0,C
2022-09-15 00:00:00,M37,35,2,C
2022-09-15 00:00:00,M38,39,7,C
2022-09-15 00:00:00,MM3,222,139,C
2022-09-15 00:00:00,MP12,220,69,C
2022-09-15 00:00:00,MP13,396,185,C
2022-09-15 00:00:00,MP1M,522,258,C
2022-09-15 00:00:00,PP1,257,32,C
2022-09-15 00:00:00,PP2,192,102,C
2022-09-15 00:00:00,PP3,345,25,C
2022-09-15 00:00:00,PP4,166,1,C
2022-09-15 00:00:00,PP5,346,82,C
2022-09-15 00:00:00,TP10,83,34,C
2022-09-15 00:00:00,TP14,53,11,C
2022-09-15 00:00:00,TP16,668,590,C
2022-09-15 00:00:00,TP17,119,66,C
2022-09-15 00:00:00,TP18,383,340,C
2022-09-15 00:00:00,TP2,85,14,C
2022-09-15 00:00:00,TPMG,116,77,C
2022-09-15 00:00:00,TP36,247,12,C
2022-09-15 00:00:00,TPM4,343,115,C
2022-09-15 00:00:00,TPM5,342,183,C
2022-09-15 00:00:00,TPM6,358,145,C
2022-09-15 00:00:00,TP27,257,124,C
2022-09-15 00:00:00,TPMN,815,428,C
2022-09-15 00:00:00,TPMP,808,177,C
2022-09-15 00:00:00,WDB1,75,19,C
2022-09-15 00:00:00,Y23,823,229,C
2022-09-15 00:00:00,Y24,181,48,C
2022-09-15 00:00:00,Y56,45,21,C
2022-09-15 00:00:00,BBM1,406,204,C
2022-09-15 00:00:00,BBM8,329,103,C
2022-09-15 00:00:00,BJ10,310,63,C
2022-09-15 00:00:00,BJ11,100,14,C
2022-09-15 00:00:00,BJ12,550,97,C
2022-09-15 00:00:00,BJ17,172,89,C
2022-09-15 00:00:00,BJ18,324,75,C
2022-09-15 00:00:00,BJ28,669,337,C
2022-09-15 00:00:00,BJ3,1054,253,C
2022-09-15 00:00:00,BJ33,366,231,C
2022-09-15 00:00:00,BJ42,450,109,C
2022-09-15 00:00:00,BJ45,232,131,C
2022-09-15 00:00:00,CK21,192,142,C
2022-09-15 00:00:00,U48,93,31,C
2022-09-15 00:00:00,U5,101,33,C
2022-09-15 00:00:00,JM14,490,219,C
2022-09-15 00:00:00,JM12,462,215,C
2022-09-15 00:00:00,W39,210,0,C
2022-09-15 00:00:00,PL67,735,315,C
2022-09-15 00:00:00,W2,1000,19,C
2022-09-15 00:00:00,W1,1000,53,C
2022-09-15 00:00:00,U9,400,49,C
2022-09-15 00:00:00,U26,595,142,C
2022-09-15 00:00:00,U25,625,152,C
2022-09-15 00:00:00,U24T,46,19,C
2022-09-15 00:00:00,U24,364,75,C
2022-09-15 00:00:00,U23,713,203,C
2022-09-15 00:00:00,U22,495,132,C
2022-09-15 00:00:00,U21,313,101,C
2022-09-15 00:00:00,U2,1109,376,C
2022-09-15 00:00:00,J45,361,95,C
2022-09-15 00:00:00,TM25,128,9,C
2022-09-15 00:00:00,TM26,124,9,C
2022-09-15 00:00:00,TM27,239,155,C
2022-09-15 00:00:00,J37,269,66,C
2022-09-15 00:00:00,BM1,60,8,C
2022-09-15 00:00:00,BM2,53,29,C
